Year,Rate,Location
2015,238.1,United States
1985,304,United States
2000,324,United States
1997,382.1,United States
1998,361.4,United States
1999,334.3,United States
2001,318.6,United States
2002,309.5,United States
2003,295.4,United States
2004,288.6,United States
2005,290.8,United States
2006,292,United States
2007,287.2,United States
2008,277.5,United States
2009,264.7,United States
2010,252.8,United States
2011,241.5,United States
1986,347.4,United States
1987,352.9,United States
1988,372.2,United States
1989,385.6,United States
1990,422.9,United States
1991,433.4,United States
1992,441.9,United States
1993,440.5,United States
1994,427.6,United States
2017,249.2,United States
2012,242.8,United States
2013,229.6,United States
2014,229.2,United States
1995,418.3,United States
1996,391,United States
2016,248.3,United States
2018,248.2,United States
2019,250.2,United States
1987,425.5,Arizona
1989,417.7,Arizona
2014,246.9,Arizona
2013,262.1,Arizona
1988,425.8,Arizona
1990,442.8,Arizona
1991,454.8,Arizona
1994,494.7,Arizona
1995,495.7,Arizona
1996,424,Arizona
1997,417.1,Arizona
2015,266.9,Arizona
1992,466.6,Arizona
1993,505.7,Arizona
2017,342.8,Arizona
1998,373.6,Arizona
1999,361.6,Arizona
2000,347.7,Arizona
2001,337.1,Arizona
2002,370.8,Arizona
2003,335.6,Arizona
2004,329.6,Arizona
2005,326.7,Arizona
2006,340.3,Arizona
2007,318.2,Arizona
2008,293.8,Arizona
2009,261.8,Arizona
2010,264.7,Arizona
2011,259,Arizona
2012,275.6,Arizona
1985,402.3,Arizona
1986,436.8,Arizona
2016,315.6,Arizona
2018,329.1,Arizona
2019,311.9,Arizona
