Year,Rate,Location
2015,13.7,United States
1985,43.6,United States
2000,24.7,United States
1997,32.6,United States
1998,29.8,United States
1999,28.8,United States
2001,27.7,United States
2002,26.8,United States
2003,25,United States
2004,23.6,United States
2005,23.1,United States
2006,24.4,United States
2007,22.6,United States
2008,21.6,United States
2009,19.5,United States
2010,18.1,United States
2011,17.5,United States
1986,46.3,United States
1987,42.5,United States
1988,41,United States
1989,41.4,United States
1990,41.7,United States
1991,41,United States
1992,40.8,United States
1993,37.7,United States
1994,39.6,United States
2017,13.2,United States
2012,17.6,United States
2013,14.9,United States
2014,14.5,United States
1995,36.7,United States
1996,34.6,United States
2016,14.2,United States
2018,12,United States
2019,10.8,United States
1987,52.6,Arizona
1989,58.9,Arizona
2014,26.2,Arizona
2013,26.3,Arizona
1988,51.1,Arizona
1990,43,Arizona
1991,39.2,Arizona
1994,32.6,Arizona
1995,36.1,Arizona
1996,30.2,Arizona
1997,28.2,Arizona
2015,17.5,Arizona
1992,31.3,Arizona
1993,29.6,Arizona
2017,16.9,Arizona
1998,26.5,Arizona
1999,26.9,Arizona
2000,27.4,Arizona
2001,29,Arizona
2002,32.5,Arizona
2003,28,Arizona
2004,26.6,Arizona
2005,27.9,Arizona
2006,38.2,Arizona
2007,34.9,Arizona
2008,38.8,Arizona
2009,32.5,Arizona
2010,28.6,Arizona
2011,27,Arizona
2012,29.9,Arizona
1985,58.4,Arizona
1986,63.4,Arizona
2016,16.6,Arizona
2018,23.9,Arizona
2019,12.9,Arizona
