Year,Rate,Location
2015,494.7,United States
1985,1291.7,United States
2000,728.8,United States
1997,919,United States
1998,863.2,United States
1999,770.4,United States
2001,741.8,United States
2002,747,United States
2003,741,United States
2004,730.3,United States
2005,726.9,United States
2006,733.1,United States
2007,726.1,United States
2008,733,United States
2009,717.7,United States
2010,701,United States
2011,701.3,United States
1986,1349.8,United States
1987,1335.7,United States
1988,1316.2,United States
1989,1283.6,United States
1990,1232.2,United States
1991,1252.1,United States
1992,1168.4,United States
1993,1099.7,United States
1994,1042.1,United States
2017,429.7,United States
2012,672.2,United States
2013,610.5,United States
2014,537.2,United States
1995,987,United States
1996,945,United States
2016,468.9,United States
2018,378,United States
2019,340.5,United States
1987,1626.1,Arizona
1989,1667.2,Arizona
2014,645.2,Arizona
2013,727.8,Arizona
1988,1580.3,Arizona
1990,1669.9,Arizona
1991,1607.5,Arizona
1994,1476.2,Arizona
1995,1416.8,Arizona
1996,1256.3,Arizona
1997,1318.9,Arizona
2015,557.5,Arizona
1992,1411.7,Arizona
1993,1465.5,Arizona
2017,535.1,Arizona
1998,1209.5,Arizona
1999,1034.3,Arizona
2000,1011.6,Arizona
2001,1033,Arizona
2002,1085.9,Arizona
2003,1050.6,Arizona
2004,991,Arizona
2005,946.2,Arizona
2006,963.6,Arizona
2007,946.4,Arizona
2008,901.6,Arizona
2009,823.4,Arizona
2010,794.2,Arizona
2011,845.7,Arizona
2012,807.7,Arizona
1985,1869.6,Arizona
1986,1907.7,Arizona
2016,553.2,Arizona
2018,444.1,Arizona
2019,394.3,Arizona
