Year,Rate,Location
2015,1783.6,United States
1985,2911.2,United States
2000,2477.3,United States
1997,2891.8,United States
1998,2729.5,United States
1999,2550.7,United States
2001,2485.7,United States
2002,2450.7,United States
2003,2416.5,United States
2004,2362.3,United States
2005,2287.8,United States
2006,2213.2,United States
2007,2185.4,United States
2008,2166.1,United States
2009,2064.5,United States
2010,2005.8,United States
2011,1974.1,United States
1986,3022.1,United States
1987,3095.4,United States
1988,3151.7,United States
1989,3189.6,United States
1990,3185.1,United States
1991,3229.1,United States
1992,3103.6,United States
1993,3033.9,United States
1994,3026.9,United States
2017,1695.5,United States
2012,1965.4,United States
2013,1901.9,United States
2014,1821.5,United States
1995,3043.2,United States
1996,2980.3,United States
2016,1745.4,United States
2018,1601.6,United States
2019,1549.5,United States
1987,4527.3,Arizona
1989,5106.1,Arizona
2014,2269.1,Arizona
2013,2381.9,Arizona
1988,4821.7,Arizona
1990,4703,Arizona
1991,4266.3,Arizona
1994,4678.5,Arizona
1995,4925.6,Arizona
1996,4252.5,Arizona
1997,4282,Arizona
2015,2235.2,Arizona
1992,4124.6,Arizona
1993,4387.4,Arizona
2017,2103.2,Arizona
1998,3922.4,Arizona
1999,3510.2,Arizona
2000,3444.1,Arizona
2001,3520.8,Arizona
2002,3704,Arizona
2003,3561.9,Arizona
2004,3118.7,Arizona
2005,2958.4,Arizona
2006,2891.9,Arizona
2007,2793.5,Arizona
2008,2607,Arizona
2009,2364.8,Arizona
2010,2403.4,Arizona
2011,2402.9,Arizona
2012,2439.4,Arizona
1985,4258.6,Arizona
1986,4336.6,Arizona
2016,2180.1,Arizona
2018,1980.8,Arizona
2019,1796.9,Arizona
