Year,Rate,Location
2015,222.2,United States
1985,463.5,United States
2000,412.2,United States
1997,505.7,United States
1998,459.9,United States
1999,422.5,United States
2001,430.5,United States
2002,432.9,United States
2003,433.7,United States
2004,421.5,United States
2005,416.8,United States
2006,400.2,United States
2007,364.9,United States
2008,315.4,United States
2009,259.2,United States
2010,239.1,United States
2011,230,United States
1986,509.8,United States
1987,531.9,United States
1988,586.1,United States
1989,634,United States
1990,655.8,United States
1991,659,United States
1992,631.6,United States
1993,606.3,United States
1994,591.3,United States
2017,237.7,United States
2012,230.4,United States
2013,221.3,United States
2014,215.4,United States
1995,560.3,United States
1996,525.7,United States
2016,237.3,United States
2018,230.2,United States
2019,219.9,United States
1987,422.6,Arizona
1989,686.9,Arizona
2014,257.3,Arizona
2013,255.7,Arizona
1988,459.1,Arizona
1990,863.5,Arizona
1991,861.1,Arizona
1994,1066.7,Arizona
1995,1157.7,Arizona
1996,926.7,Arizona
1997,970.4,Arizona
2015,246.2,Arizona
1992,821.5,Arizona
1993,863.8,Arizona
2017,269.9,Arizona
1998,865.1,Arizona
1999,800.4,Arizona
2000,842.1,Arizona
2001,983.7,Arizona
2002,1059.9,Arizona
2003,1021.6,Arizona
2004,963.5,Arizona
2005,922.3,Arizona
2006,918.7,Arizona
2007,792.6,Arizona
2008,593.6,Arizona
2009,400.8,Arizona
2010,338.9,Arizona
2011,306.2,Arizona
2012,289.8,Arizona
1985,385.5,Arizona
1986,418.8,Arizona
2016,267.5,Arizona
2018,267.6,Arizona
2019,249.4,Arizona
