Year,Rate,Location
2015,102.2,United States
1985,209.3,United States
2000,145,United States
1997,186.2,United States
1998,165.5,United States
1999,150.1,United States
2001,148.5,United States
2002,146.1,United States
2003,142.5,United States
2004,136.7,United States
2005,140.8,United States
2006,150,United States
2007,148.3,United States
2008,145.9,United States
2009,133.1,United States
2010,119.3,United States
2011,113.9,United States
1986,226,United States
1987,213.7,United States
1988,222.1,United States
1989,234.3,United States
1990,256.3,United States
1991,272.7,United States
1992,263.7,United States
1993,256,United States
1994,237.8,United States
2017,98.6,United States
2012,113.1,United States
2013,109,United States
2014,101.3,United States
1995,220.9,United States
1996,201.9,United States
2016,102.9,United States
2018,86.1,United States
2019,81.6,United States
1987,138.4,Arizona
1989,139,Arizona
2014,92.5,Arizona
2013,100.3,Arizona
1988,137,Arizona
1990,160.9,Arizona
1991,165.7,Arizona
1994,162,Arizona
1995,173.8,Arizona
1996,167.8,Arizona
1997,165.7,Arizona
2015,93.3,Arizona
1992,153.1,Arizona
1993,162.9,Arizona
2017,105.5,Arizona
1998,165.2,Arizona
1999,152.5,Arizona
2000,146.3,Arizona
2001,167.1,Arizona
2002,147,Arizona
2003,136.6,Arizona
2004,134.5,Arizona
2005,144.1,Arizona
2006,153.9,Arizona
2007,154,Arizona
2008,150.9,Arizona
2009,124.3,Arizona
2010,108.4,Arizona
2011,110.5,Arizona
2012,112.7,Arizona
1985,146.5,Arizona
1986,169.2,Arizona
2016,102,Arizona
2018,90.9,Arizona
2019,88.1,Arizona
