Year,Rate,Location
2015,2500.5,United States
1985,4666.4,United States
2000,3618.3,United States
1997,4316.5,United States
1998,4052.5,United States
1999,3743.6,United States
2001,3658.1,United States
2002,3630.6,United States
2003,3591.2,United States
2004,3514.1,United States
2005,3431.5,United States
2006,3346.6,United States
2007,3276.4,United States
2008,3214.6,United States
2009,3041.3,United States
2010,2945.9,United States
2011,2905.4,United States
1986,4881.8,United States
1987,4963,United States
1988,5054,United States
1989,5107.1,United States
1990,5073.1,United States
1991,5140.2,United States
1992,4903.7,United States
1993,4740,United States
1994,4660.2,United States
2017,2362.9,United States
2012,2868,United States
2013,2733.6,United States
2014,2574.1,United States
1995,4590.5,United States
1996,4451,United States
2016,2451.6,United States
2018,2209.8,United States
2019,2109.9,United States
1987,6576,Arizona
1989,7460.2,Arizona
2014,3171.5,Arizona
2013,3365.4,Arizona
1988,6861.2,Arizona
1990,7236.4,Arizona
1991,6734.9,Arizona
1994,7221.4,Arizona
1995,7500.1,Arizona
1996,6435.5,Arizona
1997,6571.3,Arizona
2015,3039,Arizona
1992,6357.8,Arizona
1993,6716.7,Arizona
2017,2908.3,Arizona
1998,5997,Arizona
1999,5345,Arizona
2000,5297.8,Arizona
2001,5537.5,Arizona
2002,5849.8,Arizona
2003,5634,Arizona
2004,5073.3,Arizona
2005,4826.9,Arizona
2006,4774.1,Arizona
2007,4532.6,Arizona
2008,4102.2,Arizona
2009,3589,Arizona
2010,3536.5,Arizona
2011,3554.7,Arizona
2012,3536.8,Arizona
1985,6513.7,Arizona
1986,6663.1,Arizona
2016,3000.8,Arizona
2018,2692.5,Arizona
2019,2440.5,Arizona
