Year,Rate,Location
2015,373.7,United States
1985,558.1,United States
2000,506.5,United States
1997,611,United States
1998,567.6,United States
1999,523,United States
2001,504.5,United States
2002,494.4,United States
2003,475.8,United States
2004,463.2,United States
2005,469,United States
2006,479.3,United States
2007,471.8,United States
2008,458.6,United States
2009,431.9,United States
2010,404.5,United States
2011,387.1,United States
1986,620.1,United States
1987,612.5,United States
1988,640.6,United States
1989,666.9,United States
1990,729.6,United States
1991,758.2,United States
1992,757.7,United States
1993,747.1,United States
1994,713.6,United States
2017,394.9,United States
2012,387.8,United States
2013,369.1,United States
2014,361.6,United States
1995,684.5,United States
1996,636.6,United States
2016,397.5,United States
2018,383.4,United States
2019,379.4,United States
1987,612.6,Arizona
1989,599.6,Arizona
2014,392.7,Arizona
2013,415.6,Arizona
1988,610.1,Arizona
1990,652.4,Arizona
1991,670.7,Arizona
1994,703.1,Arizona
1995,713.5,Arizona
1996,631.5,Arizona
1997,623.7,Arizona
2015,410.2,Arizona
1992,670.8,Arizona
1993,715,Arizona
2017,505.7,Arizona
1998,577.9,Arizona
1999,551.1,Arizona
2000,531.7,Arizona
2001,540.3,Arizona
2002,554.5,Arizona
2003,513.3,Arizona
2004,504.4,Arizona
2005,512,Arizona
2006,542.6,Arizona
2007,518,Arizona
2008,485.6,Arizona
2009,426.5,Arizona
2010,413.6,Arizona
2011,414.2,Arizona
2012,428.6,Arizona
1985,602.5,Arizona
1986,658.3,Arizona
2016,471,Arizona
2018,475.7,Arizona
2019,455.3,Arizona
